news_id,sentiment,id,emotion,star
1,0.373622298240662,6138,1,5
2,0.358152985572815,6139,1,4
3,0.354607582092285,6140,1,4
4,0.399910032749176,6141,1,4
5,0.444306015968323,6142,1,5
6,0.440266907215118,6143,1,5
7,0.382041305303574,6144,1,4
8,0.401376128196716,6145,1,4
9,0.335866928100586,6146,1,4
10,0.372006595134735,6147,1,4
11,0.464778572320938,6148,1,5
12,0.384326547384262,6149,1,4
13,0.311268389225006,6150,1,5
14,0.492012947797775,6151,-1,1
15,0.376480549573898,6152,0,3
16,0.473212897777557,6153,1,4
17,0.295672386884689,6154,0,3
18,0.268503755331039,6155,0,3
19,0.405090361833572,6156,1,4
20,0.317654937505722,6157,-1,1
21,0.315959542989731,6158,1,4
22,0.310174763202667,6159,1,4
23,0.315281599760056,6160,0,3
24,0.396711558103561,6161,1,4
25,0.396110713481903,6162,1,4
26,0.308847904205322,6163,0,3
27,0.382041305303574,6164,1,4
341,0.387730807065964,6165,-1,1
28,0.372006595134735,6166,1,4
29,0.275387465953827,6167,-1,2
30,0.484666556119919,6168,1,4
31,0.363813400268555,6169,1,4
32,0.357717365026474,6170,1,5
33,0.525835633277893,6171,1,4
34,0.403651118278503,6172,1,4
35,0.475312739610672,6173,1,4
36,0.35269820690155,6174,1,4
37,0.384040892124176,6175,-1,1
38,0.288518518209457,6176,1,4
39,0.412417083978653,6177,1,5
40,0.288098812103271,6178,1,4
154,0.29999715089798,6179,1,4
41,0.455163270235062,6180,-1,1
42,0.311146527528763,6181,1,5
43,0.328041911125183,6182,0,3
44,0.308847904205322,6183,0,3
45,0.315514296293259,6184,1,4
46,0.313948154449463,6185,0,3
47,0.402941852807999,6186,1,5
48,0.535637557506561,6187,-1,1
49,0.306957274675369,6188,0,3
50,0.332295626401901,6189,0,3
51,0.333369195461273,6190,-1,1
52,0.375374138355255,6191,1,4
53,0.265659093856812,6192,1,4
54,0.293479710817337,6193,0,3
55,0.352978467941284,6194,1,4
56,0.39498171210289,6195,1,4
57,0.328041911125183,6196,0,3
58,0.318385004997253,6197,1,4
59,0.334954261779785,6198,1,4
60,0.253786474466324,6199,-1,1
61,0.360077410936356,6200,-1,2
62,0.398614972829819,6201,1,4
63,0.355429381132126,6202,1,4
64,0.393597841262817,6203,1,4
65,0.299982666969299,6204,0,3
66,0.253450602293015,6205,-1,1
67,0.340785145759583,6206,-1,1
21126,0.32278236746788,6207,1,4
68,0.29346376657486,6208,-1,1
69,0.387590914964676,6209,-1,1
70,0.26049742102623,6210,-1,1
71,0.289265930652618,6211,-1,1
72,0.753762722015381,6212,-1,1
73,0.404688030481339,6213,-1,1
74,0.51555597782135,6214,1,5
75,0.579000949859619,6215,1,5
4610,0.310968965291977,6216,1,4
4611,0.61104953289032,6217,-1,1
4615,0.330902189016342,6218,1,4
79,0.366813838481903,6219,0,3
80,0.365381062030792,6220,-1,1
4616,0.288750231266022,6221,-1,1
82,0.276628315448761,6222,1,5
4612,0.353974401950836,6223,1,4
4613,0.288395881652832,6224,-1,1
4614,0.266666948795319,6225,1,5
4618,0.504310786724091,6226,1,5
4620,0.380728930234909,6227,-1,1
4622,0.32164478302002,6228,-1,1
4627,0.31391766667366,6229,1,4
101,0.322811543941498,6230,1,4
4628,0.309264928102493,6231,1,4
4629,0.534517824649811,6232,1,5
4630,0.653868973255157,6233,1,5
8978,0.342770606279373,6234,1,4
385,0.312556385993958,6235,1,4
4617,0.434191972017288,6236,1,4
4619,0.318428009748459,6237,0,3
4621,0.290379971265793,6238,1,4
4623,0.298207432031631,6239,0,3
4624,0.283004999160767,6240,1,4
4625,0.281661778688431,6241,1,4
4626,0.334871798753738,6242,1,4
4631,0.364946067333221,6243,1,5
4634,0.368559569120407,6244,1,4
4635,0.440802335739136,6245,1,4
4636,0.736842393875122,6246,-1,1
4637,0.451995551586151,6247,-1,1
386,0.314706653356552,6248,0,3
4639,0.3660529255867,6249,1,5
4808,0.337912410497665,6250,-1,1
4632,0.351293683052063,6251,1,4
4633,0.379304736852646,6252,1,4
4638,0.354326814413071,6253,1,4
1239,0.554924607276917,6254,-1,1
1240,0.454834252595901,6255,1,5
1243,0.432256251573563,6256,1,4
1245,0.284652203321457,6257,1,4
1252,0.330965429544449,6258,1,4
1257,0.461386531591415,6259,1,5
1258,0.305996507406235,6260,0,3
1260,0.386054933071136,6261,1,4
1263,0.319309026002884,6262,1,4
1264,0.333496540784836,6263,0,3
1265,0.395137548446655,6264,-1,1
4640,0.265165627002716,6265,-1,1
109,0.578200697898865,6266,1,5
110,0.313530176877975,6267,-1,2
4641,0.391363501548767,6268,-1,1
4642,0.477154761552811,6269,-1,1
4643,0.45878803730011,6270,-1,1
4644,0.657392144203186,6271,-1,1
4646,0.522000730037689,6272,1,5
4647,0.399792104959488,6273,1,5
4648,0.225703373551369,6274,1,4
121,0.492012947797775,6275,-1,1
122,0.376480549573898,6276,0,3
123,0.295672386884689,6277,0,3
124,0.278021275997162,6278,0,3
125,0.405090361833572,6279,1,4
