healthID,title,date,content,source,url,id
1,43歲男子確診猴痘　曾訪泰國和台灣並有高風險接觸,2024-10-02,一名以往健康良好的43歲男子確診猴痘，現時情況穩定，已入住瑪嘉烈醫院。 該名病人潛伏期內曾到訪泰國和台灣，在當地曾有高風險接觸。他上月24日起出疹，之後兩度向灣仔男性社會衞生科診所求診。 衞生防護中心表示，中心暫未發現個案與本港早前錄得的其他猴痘確診個案有流行病學關連，正繼續進行流行病學調查，會通報世界衞生組織。 中心提醒市民提高警覺，避免與懷疑感染猴痘的人士作密切身體接觸，同時強烈建議高風險目標群組人士接種猴痘疫苗。,Yahoo Entertainment,https://hk.news.yahoo.com/43%E6%AD%B2%E7%94%B7%E5%AD%90%E7%A2%BA%E8%A8%BA%E7%8C%B4%E7%97%98-%E6%9B%BE%E8%A8%AA%E6%B3%B0%E5%9C%8B%E5%92%8C%E5%8F%B0%E7%81%A3%E4%B8%A6%E6%9C%89%E9%AB%98%E9%A2%A8%E9%9A%AA%E6%8E%A5%E8%A7%B8-122613047.html,123
1,68歲翁「咳嗽、走路喘」確診肺癌　3D影像＋微創手術成功重拾健康,2024-09-30,【健康醫療網／記者王冠廷報導】長期吸菸的江姓男子平時常咳嗽、走路易喘，日常生活雖無其他不適，仍在親友勸說下至醫院進行低劑量電腦斷層肺癌篩檢，一檢查竟真中鏢。由於江男肺部結節小於3公分，且並無擴散跡象，在胸腔內外科醫師團隊評估下建議手術，但江男擔心年紀大，手術可能傷了元氣，術後恢復遙遙無期，對開刀一度抗拒。 3D影像重組技術 讓手術治療更精準 羅東博愛醫院胸腔外科白楚彬醫師將多張電腦斷層以「3D影像重組系統」模擬手術路徑，向江男詳細解釋，透過單孔胸腔鏡手術，胸上傷口至結節僅兩點一線，精準的微創方式治療，既能完整根除…,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_9cb5d42f-aa72-47a2-a543-2971fc57da20,146
1,乳房摸到硬塊，確診「良性腫瘤」該切除嗎？ 醫給答案...3情況建議要拿掉,2024-10-12,小玲在乳房外側摸到一顆一元硬幣大小的硬塊，到醫院檢查經診斷後雖然是屬於良性腫瘤，但她仍然擔心哪天會不會演變成惡性？經常為此困擾不已，想將它拿掉，以絕後患！卻又擔心切除後乳房會變形、還會留下傷疤。 哪些良性腫瘤可能轉變為癌症？ 良性腫瘤是指細胞在分裂過程中不受控制造成不正常的增生，一般認為與體質、年齡及荷爾蒙改變有關，但實際成因不明，至於會不會演變成為惡性腫瘤，就要看腫瘤類型，仍然有轉為惡性的可能。中國醫藥大學附設醫院乳房外科研究醫師廖庭儀指出，有少數良性腫瘤如非典型乳管增生（ADH）之後成為惡性腫瘤的機會較高。這…,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_8022a276-7696-4a72-afb6-74988e0352b1,149
1,北市首例本土登革熱！文山區7旬老翁確診　未曾到過中和、新店,2024-10-02,[周刊王CTWANT] 衛生局表示，針對確診個案居住地周遭半徑100公尺範圍，進行病媒蚊密度調查及孳生源清除等防治工作，並於昨晚緊急召開文山區區級應變中心會議，啟動跨機關防治作為。此外，截至昨日，台北市累計41例登革熱病例， 40例境外移入病例、1例本土病例，感染地以東南亞國家為主。衛生...,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_915df814-596a-4d35-ae23-b3a39576f2b7,129
1,台日混血女大生返台低燒乾咳 X光照「大片白」確診黴漿菌肺炎,2024-10-17,台中一名台日混血女大生，從日本回台後出現乾咳低燒，以為是感冒，但吃藥沒效，到台中醫院照X光後發現，肺部白了一大塊，原來是感染了黴漿菌肺炎。,Yahoo Entertainment,https://tw.news.yahoo.com/%E5%8F%B0%E6%97%A5%E6%B7%B7%E8%A1%80%E5%A5%B3%E5%A4%A7%E7%94%9F%E8%BF%94%E5%8F%B0%E4%BD%8E%E7%87%92%E4%B9%BE%E5%92%B3-x%E5%85%89%E7%85%A7-%E5%A4%A7%E7%89%87%E7%99%BD-%E7%A2%BA%E8%A8%BA%E9%BB%B4%E6%BC%BF%E8%8F%8C%E8%82%BA%E7%82%8E-065843432.html,145
1,女童上週才打疫苗！媽傻眼「確診A型流感」　醫師揭原因,2024-10-09,今年度公費流感及新冠疫苗10月1日正式開打一週，打氣出現兩樣情。衛福部疾病管制署8日公布，流感疫苗接種進度人數較去年同期略低。小兒科醫師顏俊宇也分享，有位家長向他哀號，小孩上週才剛打流感疫苗，怎料還是得到流感，對此，他也給出解釋，並呼籲大家最好趕快去施打。,Yahoo Entertainment,https://tw.news.yahoo.com/%E5%A5%B3%E7%AB%A5%E4%B8%8A%E9%80%B1%E6%89%8D%E6%89%93%E7%96%AB%E8%8B%97-%E5%AA%BD%E5%82%BB%E7%9C%BC-%E7%A2%BA%E8%A8%BAa%E5%9E%8B%E6%B5%81%E6%84%9F-%E9%86%AB%E5%B8%AB%E6%8F%AD%E5%8E%9F%E5%9B%A0-012300190.html,144
1,山陀兒風災後首例類鼻疽！疾管署：高雄6旬男「曾接觸污泥」確診,2024-10-14,[Newtalk新聞] 山陀兒風災後，高雄市爆出首例類鼻疽個案！疾管署今(15)日公布，1名60多歲高雄男性確診，患者本月6日開始出現發燒、呼吸困難及四肢無力等症狀，8日因肺炎住院，11日經血液培養確診類鼻疽。疾管署表示，患者有高血壓、氣喘病史，並曾接觸污水、污泥。目前正在一般病房接受治療。 疾管署表示，今(2024)年國內已累計96例本土類鼻疽確定病例(17例死亡)，為2001年以來同期最高，96例本土病例以65歲以上(55例)和50-64歲(31例)為主要年齡層，分布縣市以高雄市(72例)、臺南市(10例)、…,Yahoo Entertainment,https://tw.news.yahoo.com/%E5%B1%B1%E9%99%80%E5%85%92%E9%A2%A8%E7%81%BD%E5%BE%8C%E9%A6%96%E4%BE%8B%E9%A1%9E%E9%BC%BB%E7%96%BD-%E7%96%BE%E7%AE%A1%E7%BD%B2-%E9%AB%98%E9%9B%846%E6%97%AC%E7%94%B7-%E6%9B%BE%E6%8E%A5%E8%A7%B8%E6%B1%A1%E6%B3%A5-%E7%A2%BA%E8%A8%BA-074215472.html,148
1,山陀兒颱風後首例類鼻疽　高雄60多歲男接觸汙水發燒確診,2024-10-14,山陀兒颱風後爆出首例類鼻疽個案！疾管署今日公布，60多歲高雄男子月初出現發燒、呼吸困難、四肢無力等症狀，送醫診斷肺炎住院，他本身有慢性病及汙水、汙泥暴露史，後確診類鼻疽。,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d8a64c2f-7938-4c1e-89ad-92f153c8a151,133
1,快訊/麻疹又來了！上週境外移入+1例　30歲男富國島旅遊回台確診,2024-10-07,疾管署今（8）日公布國內新增1例境外移入麻疹確定病例，為北部30多歲男性，9月14日至18日赴越南富國島旅遊，9月23日至29日間陸續出現發燒、腹瀉、咳嗽、喉嚨痛等症狀多次就醫，9月29日出現紅疹，再次至醫院急診，當日即安排住院隔離治療，經通報檢驗確診，並已於10月5日出院返家。,Yahoo Entertainment,https://tw.news.yahoo.com/%E5%BF%AB%E8%A8%8A-%E9%BA%BB%E7%96%B9%E5%8F%88%E4%BE%86%E4%BA%86-%E4%B8%8A%E9%80%B1%E5%A2%83%E5%A4%96%E7%A7%BB%E5%85%A5-1%E4%BE%8B-30%E6%AD%B2%E7%94%B7%E5%AF%8C%E5%9C%8B%E5%B3%B6%E6%97%85%E9%81%8A%E5%9B%9E%E5%8F%B0%E7%A2%BA%E8%A8%BA-063914126.html,137
1,拖三年才確診！中年婦「乾燥症」害眼睛乾、皮膚癢　醫示警：嚴重恐肺炎,2024-10-17,一名年過50的孔小姐眼睛乾澀、有異物感超過三年，最初於眼科診斷為虹彩炎，接受類固醇眼藥水治療，因症狀反覆發作，再度至醫院檢查，確診為乾燥症。經中醫治療半個月後，症狀明顯有所改善。,Yahoo Entertainment,https://tw.news.yahoo.com/%E6%8B%96%E4%B8%89%E5%B9%B4%E6%89%8D%E7%A2%BA%E8%A8%BA-%E4%B8%AD%E5%B9%B4%E5%A9%A6-%E4%B9%BE%E7%87%A5%E7%97%87-%E5%AE%B3%E7%9C%BC%E7%9D%9B%E4%B9%BE-%E7%9A%AE%E8%86%9A%E7%99%A2-024107340.html,134
